date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:49	80052/80052	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:49%20GMT	https://sites.google.com/view/rtset/contributors?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/contributorse486.html	(from )
19:28:49	81053/81053	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:49%20GMT	https://sites.google.com/view/rtset/faq?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/faqe486.html	(from )
19:28:49	98582/98582	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:50%20GMT	https://sites.google.com/view/rtset/download?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/downloade486.html	(from )
19:28:50	89152/89152	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:50%20GMT	https://sites.google.com/view/rtset/download/extra-shaders?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/download/extra-shaderse486.html	(from )
19:28:50	83488/83488	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:51%20GMT	https://sites.google.com/view/rtset/secret	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/secret.html	(from )
19:28:51	74262/74262	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:51%20GMT	https://sites.google.com/view/rtset/about/privacy-policy?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/privacy-policye486.html	(from )
19:28:51	67/67	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Jan%202022%2000:28:51%20GMT	https://sites.google.com/robots.txt		(from )
19:28:52	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/RTSet/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/rtset/home)
19:28:52	12982/12982	---MC-	200	added ('OK')	application/javascript	date:Thu,%2027%20Jan%202022%2000:28:52%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/RTSet/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/rtset/home)
19:28:52	93909/93909	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:53%20GMT	https://sites.google.com/view/rtset/about	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about.html	(from https://sites.google.com/view/rtset/home)
19:28:53	80186/80186	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:53%20GMT	https://sites.google.com/view/rtset/about/bugs	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/bugs.html	(from https://sites.google.com/view/rtset/home)
19:28:53	85438/85438	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:53%20GMT	https://sites.google.com/view/rtset/about/recommended-specs	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/recommended-specs.html	(from https://sites.google.com/view/rtset/home)
19:28:54	120724/120724	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:54%20GMT	https://sites.google.com/view/rtset/about/thanks	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/thanks.html	(from https://sites.google.com/view/rtset/home)
19:28:54	84660/84660	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:54%20GMT	https://sites.google.com/view/rtset/about/contact	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/contact.html	(from https://sites.google.com/view/rtset/home)
19:28:54	78661/78661	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:55%20GMT	https://sites.google.com/view/rtset/gallery	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallery.html	(from https://sites.google.com/view/rtset/home)
19:28:55	96787/96787	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:55%20GMT	https://sites.google.com/view/rtset/gallery/day-time	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallery/day-time.html	(from https://sites.google.com/view/rtset/home)
19:28:55	79372/79372	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:55%20GMT	https://sites.google.com/view/rtset/gallery/night-time	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallery/night-time.html	(from https://sites.google.com/view/rtset/home)
19:28:56	147094/147094	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:56%20GMT	https://sites.google.com/view/rtset/changelog	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/changelog.html	(from https://sites.google.com/view/rtset/home)
19:28:56	76083/76083	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:56%20GMT	https://sites.google.com/view/rtset/changelog/planned-changes	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/changelog/planned-changes.html	(from https://sites.google.com/view/rtset/home)
19:28:56	80004/80004	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:57%20GMT	https://sites.google.com/view/rtset/contributors	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/contributors.html	(from https://sites.google.com/view/rtset/home)
